sentence,decade
"“What has he in his hand there?” cried Starbuck, pointing to something wavingly held by the German.",1850s
"“Kill-e,” cried Queequeg, twisting his tattooed face into an unearthly expression of disdain, “ah!",1850s
"It furnishes art with all her materials, and without it judgment itself can at best but “steal wisely:” for art is only like a prudent steward that lives on managing the riches of nature.",1850s
"And yet, if you had a discriminating ear, there were in it the elements of a concord such as these plains never saw nor heard.",1850s
"It is no dream of mine, To ornament a line; I cannot come nearer to God and Heaven Than I live to Walden even.",1850s
"Pity if there is nothing wonderful in signs, and significant in wonders!",1850s
hands him a cup of tepid ginger and water!,1850s
"After this Amy subsided, till a mania for sketching from nature set her to haunting river, field, and wood, for picturesque studies, and sighing for ruins to copy.",1850s
"An ancient Hawaiian war-club or spear-paddle, in its full multiplicity and elaboration of carving, is as great a trophy of human perseverance as a Latin lexicon.",1850s
"A sad eclipse of the serene soul, a sharp struggle of the young life with death, but both were mercifully brief, and then the natural rebellion over, the old peace returned more beautiful than ever.",1850s
"Eumelus’ steeds, high bounding in the chase, Still, as at first, unrivall’d lead the race: I well discern him, as he shakes the rein, And hear his shouts victorious o’er the plain.” Thus he.",1850s
"Now, as I before hinted, I have no objection to any person’s religion, be it what it may, so long as that person does not kill or insult any other person, because that other person don’t believe it also.",1850s
"And yet I also felt a strange awe of him; but that sort of awe, which I cannot at all describe, was not exactly awe; I do not know what it was.",1850s
"Blast me, if I can hear my own voice.",1850s
"It seemed as if I might next cast my line upward into the air, as well as downward into this element, which was scarcely more dense.",1850s
"A phœbe soon built in my shed, and a robin for protection in a pine which grew against the house.",1850s
"He gave a stroke, his ball hit the wicket, and stopped an inch on the wrong side.",1850s
"What did the little Mary say to that?” asked Mr. Bhaer, continuing to confess the young sinner, who stood upon the knee, exploring the waistcoat pocket.",1850s
"Two enormous wooden pots painted black, and suspended by asses’ ears, swung from the cross-trees of an old top-mast, planted in front of an old doorway.",1850s
"Our rooms are on the Rue de Rivoli, and sitting on the balcony, we look up and down the long, brilliant street.",1850s
"Our life is like a German Confederacy, made up of petty states, with its boundary forever fluctuating, so that even a German cannot tell you how it is bounded at any moment.",1850s
"From fire to oil was a natural transition for burned fingers, and Amy fell to painting with undiminished ardor.",1850s
"shed: She watch’d him all the night and all the day, And drove the bloodhounds from their destined prey.",1850s
"There are also a clean race of frogs and tortoises, and a few muscels in it; muskrats and minks leave their traces about it, and occasionally a travelling mud-turtle visits it.",1850s
What he achieved cannot be attributed either to fortune or genius.,1850s
"Amy’s lecture put the matter in a new light, and for the first time it did look weak and selfish to lose heart at the first failure, and shut himself up in moody indifference.",1850s
"For to satisfy such a want either, is not in the nature of this undertaking; since a mere modern wit can like nothing that is not modern, and a pedant nothing that is not Greek.",1850s
"Too expensive and jolly, again thought I, pausing one moment to watch the broad glare in the street, and hear the sounds of the tinkling glasses within.",1850s
"They laugh at long-togs so, Flask; but seems to me, a long tailed coat ought always to be worn in all storms afloat.",1850s
"(he said) In dear memorial of Patroclus dead; Dead and for ever lost Patroclus lies, For ever snatch’d from our desiring eyes!",1850s
"His brother leap’d to earth; but, as he lay, The trenchant falchion lopp’d his hands away; His sever’d head was toss’d among the throng, And, rolling, drew a bloody train along.",1850s
"This is indeed one of the most exquisite beauties of poetry, and attainable by very few: I only know of Homer eminent for it in the Greek, and Virgil in the Latin.",1850s
"You see, Mr. Starbuck, a wave has such a great long start before it leaps, all round the world it runs, and then comes the spring!",1850s
"You may wonder what his rigmarole, his amateur Paganini performances on one string or on twenty, have to do with your planting, and yet prefer it to leached ashes or plaster.",1850s
"Without his tent, bold Diomed they found, All sheathed in arms, his brave companions round: Each sunk in sleep, extended on the field, His head reclining on his bossy shield.",1850s
"Nevertheless, it may well be believed that since they have such a ravenous finger in the pie, it is deemed but wise to look sharp to them.",1850s
"Furthermore: you must know that when the second iron is thrown overboard, it thenceforth becomes a dangling, sharp-edged terror, skittishly curvetting about both boat and whale, entangling the lines, or cutting them, and making a prodigious sensation in all directions.",1850s
"Stern Hector fastens on the warrior’s head, And by the foot Patroclus drags the dead: While all around, confusion, rage, and fright, Mix the contending hosts in mortal fight.",1850s
"And now suspended in stages over the side, Starbuck and Stubb, the mates, armed with their long spades, began cutting a hole in the body for the insertion of the hook just above the nearest of the two side-fins.",1850s
"Far on the left, amid the throng he found (Cheering the troops, and dealing deaths around) The graceful Paris; whom, with fury moved, Opprobrious thus, th’ impatient chief reproved: “Ill-fated Paris!",1850s
"Now troops on troops the fainting chief invade, Forced he recedes, and loudly calls for aid.",1850s
"Then distorting his pockets with knobby bundles, and giving her the flowers to hold, he put up the old umbrella, and they traveled on again.",1850s
"And have not the same reasons prevented the State from resisting the Union, which have prevented them from resisting the State?",1850s
"Now, what do you think of that dream, Flask?” “I don’t know; it seems a sort of foolish to me, tho.’” “May be; may be.",1850s
"There resided in Paris some exiled Ghibellines from Lucca, with whom Castruccio held communications with the object of effecting their restoration by the help of Uguccione.",1850s
"“That’s a ‘label’ on my ‘sect’,” answered Laurie, quoting Amy, as he went to partake of humble pie dutifully with his grandfather, who was quite saintly in temper and overwhelmingly respectful in manner all the rest of the day.",1850s
"Queequeg patted their foreheads; Starbuck scratched their backs with his lance; but fearful of the consequences, for the time refrained from darting it.",1850s
"on the Phrygian plain, And from the fight convey Sarpedon slain; Then bathe his body in the crystal flood, With dust dishonour’d, and deform’d with blood; O’er all his limbs ambrosial odours shed, And with celestial robes adorn the dead.",1850s
"“Quitting the pump at last, with the rest of his band, the Lakeman went forward all panting, and sat himself down on the windlass; his face fiery red, his eyes bloodshot, and wiping the profuse sweat from his brow.",1850s
"The penitent kiss was better than a world of words, and John had her on his knee in a minute, saying tenderly... “It was too bad to laugh at the poor little jelly pots.",1850s
"Here in the midst, in either army’s sight, He dares the Spartan king to single fight; And wills that Helen and the ravish’d spoil, That caused the contest, shall reward the toil.",1850s
"Around her next a heavenly mantle flow’d, That rich with Pallas’ labour’d colours glow’d: Large clasps of gold the foldings gather’d round, A golden zone her swelling bosom bound.",1850s
"I’m disappointed, but the girl can’t help it, and the only thing left for you to do is to go away for a time.",1850s
"Though we have many substantial houses of brick or stone, the prosperity of the farmer is still measured by the degree to which the barn overshadows the house.",1850s
"His body was reaching eagerly forward, his hand stretched out like a wand, and at brief sudden intervals he continued his cries.",1850s
"This fin is some three or four feet long, growing vertically from the hinder part of the back, of an angular shape, and with a very sharp pointed end.",1850s
"This was my answer with respect to those youths who were bent on this pursuit, trusting that they would soon outgrow it.",1850s
The glories of the mighty race were fled!,1850s
"‘We have seen many whale-ships in our harbours, but never heard of your Canallers.",1850s
"The young squat still and flat, often running their heads under a leaf, and mind only their mother’s directions given from a distance, nor will your approach make them run again and betray themselves.",1850s
"It was mentioned that upon first breaking ground in the whale’s back, the blubber-hook was inserted into the original hole there cut by the spades of the mates.",1850s
"Darts shower’d on darts, now round the carcase ring; Now flights of arrows bounding from the string: Stones follow stones; some clatter on the fields, Some hard, and heavy, shake the sounding shields.",1850s
"Hobbes has given us a correct explanation of the sense in general; but for particulars and circumstances he continually lops them, and often omits the most beautiful.",1850s
"[1] CONCERNING THE WAY IN WHICH PRINCES SHOULD KEEP FAITH [1] “The present chapter has given greater offence than any other portion of Machiavelli’s writings.” Burd, “Il Principe,” p. 297.",1850s
"Apollo reinspires Hector with vigour, brings him back to the battle, marches before him with his ægis, and turns the fortune of the fight.",1850s
I see not my reflection in the vacant pupils of thy eyes.,1850s
"Jove is with us; I saw his hand, but now, From the proud archer strike his vaunted bow: Indulgent Jove!",1850s
"Then Idomen, insulting o’er the slain: “Behold, Deiphobus!",1850s
Any prospect of awakening or coming to life to a dead man makes indifferent all times and places.,1850s
The night in prison was novel and interesting enough.,1850s
"Here!” whipping out the sharp knife from his girdle; “every mother’s son of ye draw his knife, and pull with the blade between his teeth.",1850s
"For so revolvingly appalling was the White Whale’s aspect, and so planetarily swift the ever-contracting circles he made, that he seemed horizontally swooping upon them.",1850s
"“If I can manage the young one, I can the old one,” muttered Jo, as she walked away, leaving Laurie bent over a railroad map with his head propped up on both hands.",1850s
"They passed over the pond toward Fair Haven, seemingly deterred from settling by my light, their commodore honking all the while with a regular beat.",1850s
"“A life-buoy of a coffin!” cried Starbuck, starting.",1850s
"Assembling a great army of the supporters of the Guelph cause, the Florentines entered the Pistoian territories.",1850s
"Patroclus lights, impatient for the fight; A spear his left, a stone employs his right: With all his nerves he drives it at the foe.",1850s
"“And up to my time,” continued the author, “the inhabitants showed the place where he used to sit when giving a recitation of his verses, and they greatly honoured the spot.",1850s
"I’m very stupid about studying anything, can’t bear French, it’s such a slippery, silly sort of language,” was the brusque reply.",1850s
"This makes a difference of level, at the outside, of six or seven feet; and yet the water shed by the surrounding hills is insignificant in amount, and this overflow must be referred to causes which affect the deep springs.",1850s
"But bold Tydides to the rescue goes, A single warrior midst a host of foes; Before the coursers with a sudden spring He leap’d, and anxious thus bespoke the king: “Great perils, father!",1850s
only to fall into the hidden snare of the Indian.,1850s
"But put an extra condiment into your dish, and it will poison you.",1850s
"In one word, Queequeg, said I, rather digressively; hell is an idea first born on an undigested apple-dumpling; and since then perpetuated through the hereditary dyspepsias nurtured by Ramadans.",1850s
"But he who found not whom his soul desired, Whose virtue charm’d him as her beauty fired, Stood in the gates, and ask’d “what way she bent Her parting step?",1850s
"Three sons renown’d adorn’d his nuptial bed, Ilus, Assaracus, and Ganymed: The matchless Ganymed, divinely fair, Whom heaven, enamour’d, snatch’d to upper air, To bear the cup of Jove (ethereal guest, The grace and glory of the ambrosial feast).",1850s
"I do not care to trace the course of my dollar, if I could, till it buys a man, or a musket to shoot one with,—the dollar is innocent,—but I am concerned to trace the effects of my allegiance.",1850s
But fortunately the special point I here seek can be established upon testimony entirely independent of my own.,1850s
"One inconvenience I sometimes experienced in so small a house, the difficulty of getting to a sufficient distance from my guest when we began to utter the big thoughts in big words.",1850s
"There’s the tea bell, I must run and change my cap.” And off she bustled, leaving me to settle myself in my new nest.",1850s
"Him thus inactive, with an ardent look The prince beheld, and high-resenting spoke.",1850s
"Sometimes I saw him at his work in the woods, felling trees, and he would greet me with a laugh of inexpressible satisfaction, and a salutation in Canadian French, though he spoke English as well.",1850s
"You know I proposed the cupboard,” broke in Snodgrass, who was enjoying the joke amazingly.",1850s
"The great, the bold, by thousands daily fall, And endless were the grief, to weep for all.",1850s
"To this the duke replied that he did not wish to enter into war with Tuscany, and thus become hostile to the Florentines, but that he was very willing to proceed against Sinigalia.",1850s
"The spoken words that are inaudible among the flying spindles; those same words are plainly heard without the walls, bursting from the opened casements.",1850s
"Why does it always crucify Christ, and excommunicate Copernicus and Luther, and pronounce Washington and Franklin rebels?",1850s
"Nutting had a famous fox-hound named Burgoyne,—he pronounced it Bugine,—which my informant used to borrow.",1850s
"I wish Fred was dark, for I don’t fancy light men, however, the Vaughns are very rich and come of an excellent family, so I won’t find fault with their yellow hair, as my own is yellower.",1850s
"Mr. Brooke came for his umbrella,” began Meg, wishing that Mr. Brooke and the umbrella were safely out of the house.",1850s
How does it become a man to behave toward the American government today?,1850s
"This is just the time, Meg, when young married people are apt to grow apart, and the very time when they ought to be most together, for the first tenderness soon wears off, unless care is taken to preserve it.",1850s
"The gods themselves, at length relenting gave The unhappy race the honours of a grave.",1850s
"Meg rather approved of the new arrangement at first, and found it a relief to know that John was having a good time instead of dozing in the parlor, or tramping about the house and waking the children.",1850s
"Above, the sire of gods his thunder rolls, And peals on peals redoubled rend the poles.",1850s
"In their kind arms my tender years were past; What time old Saturn, from Olympus cast, Of upper heaven to Jove resign’d the reign, Whelm’d under the huge mass of earth and main.",1850s
How large a body of Walden water would be required to reflect a green tint I have never proved.,1850s
"But mark: aloft there, at the three mast heads, stand three men intent on spying out more whales, which, if caught, infallibly will again soil the old oaken furniture, and drop at least one small grease-spot somewhere.",1850s
"I shall be very sorry to lose him next year,” said Mr. Brooke, busily punching holes in the turf.",1850s
"“Now, let me see, there’s my new gray walking suit, just curl up the feather in my hat, Beth, then my poplin for Sunday and the small party, it looks heavy for spring, doesn’t it?",1850s
"All alive to his jeopardy, he was going “head out”; that part obliquely projecting from the mad yeast which he brewed.",1850s
He is never chased; he would run away with rope-walks of line.,1850s
I try all things; I achieve what I can.,1850s
"Now, mustering the spare poles from below, and selecting one of hickory, with the bark still investing it, Ahab fitted the end to the socket of the iron.",1850s
"No more monkey-jackets and tarpaulins for me; I must mount a swallow-tail, and drive down a beaver; so.",1850s
"What if the gods, the skilful to confound, Have thrown the horse and horseman to the ground?",1850s
"My blessed boy, words can’t express my gladness.",1850s
"From my forenoon watch below, I ascended to the overclouded deck; and there, dashed upon the main hatches, I saw a regal, feathery thing of unspotted whiteness, and with a hooked, Roman bill sublime.",1850s
"Still raged the conflict round the hero dead, And heaps on heaps by mutual wounds they bled.",1850s
"The son of Panthus, skill’d the dart to send, Eyes the dead hero, and insults the friend.",1850s
"Her face looked tired, grave, and rather sad, for tomorrow was her birthday, and she was thinking how fast the years went by, how old she was getting, and how little she seemed to have accomplished.",1850s
"Your airs are funny now, but you’ll grow up an affected little goose, if you don’t take care.",1850s
"“Yes, out it came, and away ran Polly, frightened to death, and scrambled up on Aunt’s chair, calling out, ‘Catch her!",1850s
"Fogs and rains and warmer suns are gradually melting the snow; the days have grown sensibly longer; and I see how I shall get through the winter without adding to my wood-pile, for large fires are no longer necessary.",1850s
"I can’t resist them when I see Sallie buying all she wants, and pitying me because I don’t.",1850s
"“Broke,” said I—“_broke_, do you mean?” “Sartain, and that’s the very reason he can’t sell it, I guess.” “Landlord,” said I, going up to him as cool as Mt.",1850s
Who can tell how appalling to the wounded whale must have been such huge phantoms flitting over his head!,1850s
"Then the two invalids were ordered to repose, which they did, by both sitting in one big chair and talking hard.",1850s
"It may be in a great strait, and not know what to do: I cannot help that.",1850s
"No, die, and pay the forfeit of your race.” This said, Pisander from the car he cast, And pierced his breast: supine he breathed his last.",1850s
"“Impossible!—a lamp-feeder!” “Not that,” said Stubb, “no, no, it’s a coffee-pot, Mr. Starbuck; he’s coming off to make us our coffee, is the Yarman; don’t you see that big tin can there alongside of him?—that’s his boiling water.",1850s
"Within the lines they drew their steeds around, And from their chariots issued on the ground; Next, all unbuckling the rich mail they wore, Laid their bright arms along the sable shore.",1850s
"[110] “As when some peasant in a bushy brake Has with unwary footing press’d a snake; He starts aside, astonish’d, when he spies His rising crest, blue neck, and rolling eyes” Dryden’s Virgil, ii.",1850s
he takes me for the hunch-backed skipper of some coasting smack.,1850s
"Therefore a wise lord cannot, nor ought he to, keep faith when such observance may be turned against him, and when the reasons that caused him to pledge it exist no longer.",1850s
"The vessel under short sail, with look-outs at the mast-heads, eagerly scanning the wide expanse around them, has a totally different air from those engaged in regular voyage.” —_Currents and Whaling.",1850s
"But he that would save his life, in such a case, shall lose it.",1850s
"Jo had burned the skin off her nose boating, and got a raging headache by reading too long.",1850s
"and since neither can be mine, let me then tow to pieces, while still chasing thee, though tied to thee, thou damned whale!",1850s
"By-and-by a diver came down, and the mermaid said, ‘I’ll give you a box of pearls if you can take it up,’ for she wanted to restore the poor things to life, and couldn’t raise the heavy load herself.",1850s
"The ear has no external leaf whatever; and into the hole itself you can hardly insert a quill, so wondrously minute is it.",1850s
"For know, of all the numerous towns that rise Beneath the rolling sun and starry skies, Which gods have raised, or earth-born men enjoy, None stands so dear to Jove as sacred Troy.",1850s
"If we do not get out sleepers, and forge rails, and devote days and nights to the work, but go to tinkering upon our _lives_ to improve _them_, who will build railroads?",1850s
"The fleet once saved, desist from further chase, Nor lead to Ilion’s walls the Grecian race; Some adverse god thy rashness may destroy; Some god, like Phœbus, ever kind to Troy.",1850s
"But chancing to slip with his ivory heel, he saw the crushed copper sight-tubes of the quadrant he had the day before dashed to the deck.",1850s
